id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
1532,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,411,2025-12-10 20:00:01,2025-12-10 21:52:55,112,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,69.0,79.0,0.0,0.0,53.2,53.2,0.0,0.0,46.3,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1533,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,410,2025-12-08 20:00:00,2025-12-08 22:04:07,124,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,76.0,0.0,0.0,53.2,53.2,0.0,0.0,46.4,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1534,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,409,2025-12-06 20:00:01,2025-12-06 22:04:30,124,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,66.0,76.0,0.0,0.0,52.8,52.9,0.0,0.0,46.4,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1535,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,408,2025-12-04 20:00:01,2025-12-04 21:55:51,115,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,70.0,77.0,0.0,0.0,53.1,53.1,0.0,0.0,46.4,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1536,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,407,2025-12-02 20:00:01,2025-12-02 22:02:41,122,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,69.0,72.0,0.0,0.0,54.0,54.0,0.0,0.0,46.4,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1537,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,406,2025-11-30 20:00:01,2025-11-30 22:06:53,126,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,75.0,0.0,0.0,55.1,55.1,0.0,0.0,46.4,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1538,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,405,2025-11-28 20:00:01,2025-11-28 22:10:06,130,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,65.0,70.0,0.0,0.0,54.6,54.6,0.0,0.0,46.4,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1539,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,404,2025-11-26 20:00:01,2025-11-26 22:11:40,131,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,66.0,69.0,0.0,0.0,55.1,55.1,0.0,0.0,46.4,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1540,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,403,2025-11-24 20:00:01,2025-11-24 22:12:16,132,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,65.0,75.0,0.0,0.0,55.2,55.1,0.0,0.0,46.4,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1541,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,402,2025-11-22 20:00:01,2025-11-22 22:08:03,128,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,71.0,0.0,0.0,54.1,54.2,0.0,0.0,46.9,47.0,0.0,0.0,,,,,,,,,LEAD_ACID,
