ip,location
10.63.42.50,BAU.Bulgan_YoltBag_Mobi
10.63.42.58,BAU.Altai_Unitel
10.63.42.91,UVS.Hovd_holboo_NMD
10.63.42.98,BAU.Tsengel_Hushuut_960toot_MP23
10.63.43.106,HOV.Jargalant_MW132_TPD55
10.63.43.131,HOV.Bulgan_Unitel_TPD40
10.63.43.155,HOV.Tsetseg_Hushuut_Tosgon_TOMD
10.63.43.170,HOV.Jargalant_BuyantBag_NutagSharBair_TOMD
10.63.43.18,HOV.Tsetseg_AltainZam_HarahTseg
10.63.43.2,HOV.Tsetseg_Hushuut_MonEnCO_Office
10.63.43.34,HOV.Jargalant_8bag_Naran19gudamj_7toot_MP23
10.63.43.42,HOV.Bulgan_BayangoliinZadgai_MP23
10.63.43.66,HOV.Uyench_Unitel_TPD55
10.63.43.75,HOV.Myangad_Holboo_TPD10
10.63.44.106,BAH.Bayanhongor_Gerhoroolol_Irontower
10.63.44.114,BAH.Galuut_Holboo_IOMD150
10.63.44.163,BAH.Bumbugur_MW117_ISS100
10.63.44.194,BAH.Erdenetsogt_Shargaljuut_ISS100
10.63.44.2,BAH.Buutsagaan_BayanburdBag_MP22
10.63.44.210,BAH.Bogd_Holboo_IOMD150
10.63.44.242,BAH.Baatsagaan_Holboo_IOMD150
10.63.45.10,UVS.Tes_SharsuuriBoomt
10.63.45.131,UVS.Zavhan_TolbinUul
10.63.45.187,UVS.Zuunhangai_Holboo_TPD
10.63.45.202,UVS.Ulaangom_Airport_MP24
10.63.45.26,UVS.Ulaangom_5bag_UlaanUul
10.63.45.35,UVS.Baruunturuun_Holboo_NMD
10.63.45.43,UVS.Malchin_Holboo_TPD
10.63.45.75,UVS.Ulaangom_Chandmani_1bag_Unitel_TPD40
10.63.46.107,ZAV.Uliastai_5bag_Tovtsog_Mobi_TPD55
10.63.46.122,ZAV.TsetsenUul_Unitel_NMD110
10.63.46.18,ZAV.Uliastai_JargalantBag_DU_MP22
10.63.46.243,ZAV.Telmen_UvugdiiBag
10.63.46.26,ZAV.Tosontsengel_Hairhan_14_1413toot_SMP21
10.63.46.66,ZAV.Uliastai_2bag_Bayanhairhan_2_208toot_MP22
10.63.47.66,UMG.Tsogttsetsii_Siirstbag_ShanagataiTolgoi_TPD55
10.63.47.82,UMG.Tsogttsetsii_NasaHothon
10.63.47.90,UMG.Tsogttsetsii_TsagaanOvoo_ShangainNuh_USOF
10.63.47.98,UMG.Tsogttsetsii_SumDundiinEmneleg
10.63.48.10,GOA.Esunbulag_SolongoHoroolol_SMP22
10.63.48.114,ZAV.Otgon_Holboo_ID150
10.63.48.139,GOA.Taishir_Mobi
10.63.48.2,GOA.Esunbulag_HarzatBag_3_17toot_MP22
10.63.48.211,GOA.Taishir_Holboo
10.63.48.218,GOA.Sharga_Holboo
10.63.5.2,BZD._14hor_CentralMall_MP22_ULN
10.63.51.10,DOR._Halhgol_AltaiAgro_MP22
10.63.51.114,DOR.Matad_DachinTamsag_1_9Havtgai_IOMD150
10.63.51.122,DOR.Matad_DachinTamsag_19Havtgai_IOMD150
10.63.51.138,SUH.Bayandelger_Holboo_IOMD150
10.63.51.146,SUH.Dariganga_Holboo_IOMD150
10.63.51.171,SUH.BaruunUrt_DurvuljTolgoi
10.63.51.179,SUH.BaruunUrt_3bag_Chuluutiin709toot_TPD55
10.63.51.18,SUH.BaruunUrt_7bag_Ecohoroolol314toot_SMP21
10.63.51.2,DOR.Halhgol_BurhantZastav_Mobi_MP22
10.63.51.242,DOR.Matad_Holboo_ID150
10.63.51.42,DOR.Halhgol_WaterTank_MA73
